query-id,text
MI3_240725_TY2_0001_1_V02-8_1,코로나19 동절기 집중접종기간 운영개요 혼합형에 대해 알려주세요
MI3_240725_TY2_0001_3_V01_2,대상기관별 손실보상금 지급현황에 대해 알려주세요
MI3_240725_TY2_0006_2_V01_3,의료안전예방국 연락처 표에 대해 알려주세요
MI3_240725_TY2_0023_2_V01_1,국가관리 병원체 그룹 개정 이후 A그룹에 대해 알려주세요
MI3_240725_TY2_0024_2_V02-1_1,성별 혈중 지표 상태 차트(세로 막대형)에 대해 알려주세요
MI3_240725_TY2_0027_1_V01_1,식생활과 관련된 주요 항목에 대해 알려주세요
MI3_240725_TY2_0035_2_V02-1_2,중독 이유에 따른 발생 현황 차트(가로 막대형)에 대해 알려주세요
MI3_240725_TY2_0035_4_V02-3_2,사망환자의 노출 물질 차트(원형)에 대해 알려주세요
MI3_240725_TY2_0040_3_V02-4_1,2023년 일본뇌염 월별 분포도 차트(꺾은선형)에 대해 알려주세요
MI3_240725_TY2_0041_1_V02-4_1,국내외 현황 차트(꺾은선형)에 대해 알려주세요
MI3_240725_TY2_0041_3_V02-8_1,HIV/ADIS 관련 지식 수준과 관련하여 2023년 평균 정답률에 대해 알려주세요
MI3_240725_TY2_0057_2_V01_1,경북권 결핵관리 교육 프로그램 진행순서 차트에 대해 알려주세요
MI3_240725_TY2_0071_3_V01_1,EBS 캐릭터 에 대해 알려주세요
MI3_240725_TY2_0089_5_V02-1_1,2021년 뇌졸중 1년 치명률 현황 차트(세로 막대형)에 대해 알려주세요
MI3_240725_TY2_0095_3_V01_1,한국보육진흥원 업무협약 세부일정 관련 시각요소 내용과 함께 제목에 대해 알려주세요
MI3_240725_TY2_0110_4_V01_2,"확진자에 대한 성별·연령별 발생 현황(명, %) 표에 대해 알려주세요"
MI3_240725_TY2_0154_3_V01_1,폭염대비 건강수칙과 담당 부서에 대해 알려주세요
MI3_240725_TY2_0154_4_V02-8_2,온열질환자 수 및 평균최고기온 차트(혼합형)에 대해 알려주세요
MI3_240725_TY2_0189_3_V02-3_2,노인 추락・낙상에 대한 원형 차트에 대해 알려주세요
MI3_240725_TY2_0191_2_V02-1_2,의료방사선에 대한 대국민 인식조사의 차트(가로 막대형)에 대해 알려주세요
MI3_240725_TY2_0191_3_V02-1_1,의료방사선 위험성에 대한 차트(세로 막대형)에 대해 알려주세요
MI3_240725_TY2_0191_7_V02-1_1,5. 의료방사선의 관리성 차트(세로 막대형)에 대해 알려주세요
MI3_240725_TY2_0208_1_V01_2,코로나19 해외유입 확진자 현황에 대해 알려주세요
MI3_240725_TY2_0208_2_V01_2,코로나19 일일 확진자 현황에 대한 표를 알려주세요
MI3_240725_TY2_0249_1_V01_1,코로나바이러스감염증-19 국내 발생 현황에 대해 알려주세요
MI3_240725_TY2_0249_1_V01_2,코로나19 확진자 관리 현황에 대해 알려주세요
MI3_240725_TY2_0265_2_V01_1,세션 1 감염병감시 및 발생대응에 대해 알려주세요
MI3_240725_TY2_0325_1_V01_1,"건강한 국민, 안전한 사회 과제 주요 내용 방역 정책 수립 지원 차트(세로 막대형)에 대해 알려주세요"
MI3_240725_TY2_0340_1_V01_1,지방간 질환에 대한 붙임 연구성과 및 주요내용에 대해 알려주세요.
MI3_240725_TY2_0360_4_V01_3,(추정)유입국가 확인 단계 표에 대해 알려주세요
MI3_240725_TY2_0364_3_V01_1,국내 유입과 해외 유입 신규 확진자에 대해 알려주세요
MI3_240729_TY2_0081_3_V02-8_2,권역별 확진자 발생 추이에 대해 알려주세요
MI3_240729_TY2_0108_3_V02-2_2,<델타 및 오미크론 예방접종력에 따른 중증화율> 가로 막대형 차트에 대해 알려주세요
MI3_240729_TY2_0108_7_V02-8_1,청소년 주차별 예약률 및 1차·2차접종률 혼합형에 대해 알려주세요
MI3_240729_TY2_0108_9_V02-2_1,추정진단명 -2에 대해 알려주세요
MI3_240729_TY2_0135_4_V01_1,인플루엔자 예방접종 통계 현황 표에 대해 알려주세요
MI3_240729_TY2_0142_2_V02-3_1,확진자에 대한 <연령대별 분포> 차트에 대해 알려주세요
MI3_240729_TY2_0142_4_V01_1,정부혁신과 관련된 여러 국가의 감염 현황에 대해 알려주세요
MI3_240729_TY2_0148_2_V01_1,코로나19 병상 보유량 표에 대해 알려주세요
MI3_240729_TY2_0148_2_V01_2,국내 발생 신규 확진자에 대하여 60세 이상과 18세 이하로 나눈 표에 대해 알려주세요
MI3_240729_TY2_0148_5_V01_1,코로나 국내  발생 현황 중 < 성별·연령별 사망현황 > 표에 대해 알려주세요
MI3_240729_TY2_0148_7_V01_1,코로나 19 대응 권역별 병상 현황 표에 대해서 알려주세요
MI3_240729_TY2_0150_1_V02-8_2,감염병전담병원 병상 가동률 추이에 대해 알려주세요
MI3_240729_TY2_0150_2_V02-8_1,코로나 19 주간 발생 현황 중 수도권 비수도권 혼합형 차트에 대해 알려주세요
MI3_240729_TY2_0150_7_V01_1,주간 일평균 확진환자 발생과 중증화율 및 치명률에 관한 표에 대해 알려주세요
MI3_240729_TY2_0176_3_V01_1,2021~2023년 시·도별 결핵 전체환자 수(율) 표에 대해 알려주세요
MI3_240729_TY2_0183_1_V01_1,"확진자 성별, 연령별 현황 차트에 대해 알려주세요"
MI3_240729_TY2_0183_1_V02-8_1,특정 연령대와 사망자 수에 대한 혼합형 차트에 대해 알려주세요
