query-id,corpus-id,score
0,1595,1
0,1605,1
0,1697,1
1,393,1
1,477,1
2,807,1
2,809,1
3,444,1
4,2052,1
4,2053,1
4,2054,1
4,2055,1
5,2117,1
5,2118,1
5,2119,1
5,2120,1
6,652,1
6,662,1
7,2108,1
7,2120,1
8,1040,1
8,1041,2
8,1042,1
9,1671,1
9,1694,2
10,1348,1
10,1350,2
11,208,1
11,209,1
11,210,1
11,211,1
11,212,1
12,1223,1
12,1554,1
13,1365,1
13,1366,1
13,1367,2
13,1369,1
13,1370,1
14,1456,1
14,1458,1
14,1459,1
15,311,1
16,1758,1
16,1790,1
17,430,1
17,431,1
17,432,1
17,435,1
17,436,1
18,292,1
18,299,1
19,343,1
19,344,1
19,345,1
19,346,2
20,628,1
20,638,1
21,1636,1
21,1637,1
22,68,1
22,78,1
23,1156,1
23,1157,1
23,1158,1
23,1159,1
23,1160,1
23,1161,1
23,1162,1
24,2127,1
24,2128,1
24,2129,1
25,2098,1
25,2108,1
26,1034,2
26,1038,2
27,686,1
27,687,1
27,688,1
27,689,1
27,690,1
27,691,1
27,692,1
28,1341,1
28,1342,1
28,1344,1
28,1346,1
29,376,1
29,402,1
30,382,1
30,383,1
30,384,1
30,385,1
30,386,1
31,1559,1
31,1561,1
31,1562,1
31,1563,1
32,845,1
32,846,1
32,847,1
32,849,1
32,850,1
32,851,1
33,423,1
33,448,1
34,1257,1
34,1258,1
34,1262,1
35,1362,1
35,1363,1
35,1365,1
35,1366,1
35,1367,1
36,370,1
36,371,1
36,372,1
37,24,1
37,61,1
37,121,1
38,2094,1
38,2096,1
38,2115,1
39,1341,2
39,1342,1
40,71,1
40,75,1
41,1273,1
41,1293,1
42,279,1
42,280,1
42,282,1
42,283,1
43,926,1
43,927,2
44,617,1
44,618,1
44,619,1
45,683,1
46,765,1
46,766,1
46,767,1
46,768,1
46,769,1
47,419,1
47,438,1
47,440,1
48,1550,1
48,1553,1
48,1554,1
49,418,1
49,431,1
50,13,1
50,64,1
51,2126,1
51,2127,1
51,2128,2
51,2129,2
52,685,1
52,686,1
52,687,1
52,688,1
52,689,1
52,690,1
52,691,1
53,60,1
53,79,1
53,88,1
54,147,1
54,154,2
54,181,1
55,938,1
55,939,1
55,941,1
55,942,1
55,943,1
56,123,1
56,124,2
56,127,2
56,128,1
56,129,1
57,1518,1
57,1519,1
57,1522,1
58,2084,1
58,2094,1
59,1184,1
59,1185,1
59,1186,1
59,1188,1
60,1525,1
60,1526,1
60,1528,2
61,870,1
61,871,1
61,872,1
61,873,1
61,874,2
62,499,1
62,502,1
62,618,1
63,851,2
63,852,1
63,853,1
63,854,1
64,416,1
64,437,1
65,1865,1
65,1896,1
66,2097,2
66,2099,1
67,1557,1
67,1558,1
67,1559,1
67,1561,1
68,1423,1
68,1424,1
68,1425,1
68,1428,1
68,1429,1
69,2013,1
69,2100,1
69,2102,1
70,434,1
70,456,1
71,1901,1
71,1902,1
71,1903,1
71,1904,1
71,1905,1
72,480,1
72,481,1
72,482,1
72,483,2
72,484,2
73,2099,1
73,2100,1
73,2101,2
73,2102,2
73,2103,2
74,1895,1
74,1896,1
74,1897,1
74,1898,1
74,1899,1
75,102,2
75,104,1
75,105,1
76,95,1
76,96,1
76,98,2
77,2107,1
77,2108,1
77,2109,1
77,2110,1
77,2111,2
77,2112,2
78,1935,1
78,1950,1
79,729,1
79,730,1
79,732,1
79,733,1
79,734,1
80,2075,1
80,2076,1
80,2079,1
80,2080,1
81,880,2
82,990,1
82,991,1
82,993,1
83,1395,1
83,1396,1
83,1397,1
83,1398,1
84,154,1
84,198,1
84,200,2
85,1541,1
85,1545,1
85,1546,1
86,2114,2
87,729,1
87,730,1
87,731,1
87,732,1
87,733,1
87,734,2
87,735,1
88,1181,1
88,1408,1
89,61,1
89,90,1
90,2050,1
90,2105,1
91,1250,1
91,1251,1
91,1252,1
91,1253,1
91,1255,1
91,1256,1
92,710,1
92,711,1
92,712,1
92,713,1
92,714,1
92,715,1
92,716,1
93,716,1
93,717,1
93,718,1
94,293,1
94,294,1
94,295,1
94,297,1
95,283,1
95,346,1
96,435,1
96,436,1
96,437,1
96,439,1
97,1920,1
97,1921,1
98,2097,2
98,2098,1
99,1005,1
99,1450,1
100,1569,1
100,1570,2
101,2081,1
101,2082,1
101,2084,1
101,2086,1
101,2087,1
102,81,1
102,82,1
102,84,2
103,1672,1
103,1673,1
103,1674,1
103,1675,2
104,666,1
104,667,1
104,668,1
104,669,1
105,1621,1
105,1622,2
106,1943,1
106,1945,1
106,1946,1
106,1947,1
107,1690,1
107,1691,1
107,1692,1
107,1693,1
107,1694,1
108,1949,1
108,1950,1
108,1951,1
108,1952,1
108,1953,1
109,86,1
109,128,1
110,663,1
110,892,2
111,1333,1
111,1334,1
111,1336,1
111,1337,1
111,1338,1
112,78,1
112,79,1
112,81,1
112,82,1
112,83,1
112,84,2
113,11,1
113,56,1
113,77,2
114,13,1
114,68,1
115,2082,1
115,2138,2
116,424,1
116,425,1
