query-id,text
1,나무가 주거 공간에서 제공하는 역할은 무엇인가?
2,나무가 휴식 공간으로서 어떤 기능을 하는가?
3,나무가 식량 자원으로 이용되는 예시는 무엇인가?
4,나무의 잎·줄기·뿌리 형태가 다양한 이유는 무엇인가?
5,나무는 계절별로 어떤 변화를 보이는가?
6,소나무의 주요 특성과 문화적 의미는 무엇인가?
7,메타세쿼이어가 도시 환경에서 갖는 장점은 무엇인가?
8,단풍나무는 7월에 어떤 특징을 보이며 가을에는 어떻게 변하는가?
9,주목의 서식지와 장수 특성에 대해 설명해 달라.
10,향나무가 공기 정화와 향기 측면에서 갖는 유용성은 무엇인가?
11,느티나무가 마을에서 상징적·사회적 역할을 하는 방식은 무엇인가?
12,나무가 산소 공급과 기후 조절에 기여하는 방식은 무엇인가?
13,도시 환경 개선을 위해 나무가 제공하는 사회적 기능은 무엇인가?
14,나무가 회화·조각·사진 등 예술에서 어떤 영감을 주고 활용되는가?
15,나무가 스트레스 완화와 면역 강화에 기여하는 근거는 무엇인가?
16,도시에서 나무 심기 계획을 세울 때 고려해야 할 주요 항목은 무엇인가?
17,나무 보호를 위해 병해충 방제와 토양 관리는 어떻게 해야 하는가?
18,나무가 생물다양성 유지에 기여하는 구체적 역할은 무엇인가?
19,나무는 탄소 흡수로 기후 변화 완화에 어떤 기여를 하는가?
20,나무 심기 캠페인에서 장소 선정 기준과 사후 관리는 어떻게 진행되는가?
21,우리 동네 나무들이 지역사회에 제공하는 가치와 기능은 무엇인가?
22,나무가 개인의 삶과 정서에 미치는 영향에는 어떤 것이 있는가?
23,도시 녹지 확대가 도시 열섬 현상 완화에 기여하는 방식은 무엇인가?
24,나무를 통해 지속 가능한 미래를 달성하기 위한 핵심 요소는 무엇인가?
25,나무가 제공하는 경제적 가치는 어떤 분야에서 나타나는가?
26,PenDA Office와 PenDA PDA의 주요 기능은 무엇인가?
27,"2004년부터 2007년까지 국내 e-Learning 시장에서 서비스, 컨텐츠, 솔루션의 매출 추세는 어떻게 변화했나?"
28,"e-Learning Hierarchy에서 CONTENTS, LMS TOOLS, SERVICE 각 역할과 개선 방안은 무엇인가?"
29,수강신청과 과제물 제출 등을 관리하기 위한 학사관리 시스템 명칭은 무엇인가?
30,기업연수 외국어 과정에 포함된 과목 예시는 무엇인가?
31,학습자 중심의 e-Learning이 제공하는 주요 장점 세 가지는 무엇인가?
32,특허 목록에 나열된 '다중성 통신을 지원하는 응용프로그램 공유방법' 항목은 어느 페이지에 있는가?
33,Vertical Integration 슬라이드에서 콘텐츠·서비스·솔루션 통합으로 기대되는 주요 효과는 무엇인가?
34,R&D 전략에서 콘텐츠 설계역량을 구성하는 기술 요소들은 무엇인가?
35,PenDA Streaming Server가 제공하는 주요 기능은 무엇인가?
